ID,Title,Description,Views,Likes,Author,Slides,UploadDate,Thumbnail,IframeURL
270506705,SEMINAR PROPOSAL SKRIPSI CONTOH  BERIKUT,Penelitian ini mengeksplorasi pengaruh media pembelajaran berbasis video 360 derajat terhadap hasil belajar siswa kelas XI di SMK Negeri 14 Medan dalam mata pelajaran konstruksi jalan dan jembatan. Identifikasi masalah mencakup kurangnya penggunaan teknologi oleh guru dan ketidaktersediaan media pembelajaran 360 derajat. Tujuan penelitian adalah untuk menilai efektivitas media ini dan manfaatnya bagi siswa dan pendidik.,12,0,FajriFebriansyah,11,25-Jul-24,https://cdn.slidesharecdn.com/ss_thumbnails/sempro-240725162608-3ab60d89-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/wJQB3xRknPfUW9
71234833,Contoh Proposal,"Proposal ini menguraikan pelaksanaan workshop dan musyawarah kerja tahunan di MTs NU Ungaran untuk tahun pelajaran 2014/2015, bertujuan untuk mempersiapkan guru dalam penerapan kurikulum 2013. Kegiatan ini akan berlangsung pada tanggal 1 dan 2 Juli 2014, dengan melibatkan guru dan karyawan sebagai peserta. Selain itu, rincian anggaran dan susunan acara juga disertakan dalam proposal ini.",1831,,retno warniati,8,21-Jan-17,https://cdn.slidesharecdn.com/ss_thumbnails/proposal2014-170121004738-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/HYnMY0nWD416Gu
33648894,Contoh proposal pengajuan skripsi,Dokumen tersebut membahas peranan guru Pendidikan Agama Islam dalam membentuk karakter siswa di Madrasah Aliyah Miftahussalam Megang Sakti III. Dokumen menjelaskan latar belakang pentingnya pendidikan agama Islam dalam membentuk akhlak remaja. Guru PAI memiliki peran penting sebagai teladan dan memiliki tanggung jawab untuk membimbing siswa secara teratur agar siswa dapat memiliki akhlak yang baik. Dokumen jug,38336,7,imammuttaqin58,23,17-Apr-14,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalpengajuanskripsi-140417100904-phpapp02-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/enQbSaS1jc57Ac
181908406,Contoh Proposal Pengadaan Meubelair Sekolah,"PT Pilar Mas Jaya mengajukan proposal untuk penyediaan meubelair sekolah guna meningkatkan mutu pendidikan dan kualitas lulusan yang relevan dengan kebutuhan dunia kerja. Proposal ini bertujuan untuk menyediakan sarana belajar yang memadai, menciptakan proses pembelajaran yang kondusif, dan meningkatkan administrasi pendidikan. Diharapkan proposal ini mendapat persetujuan untuk membantu pelaksanaan pembelajaran secara efektif.",500,0,AmandaYella,10,14-Oct-19,https://cdn.slidesharecdn.com/ss_thumbnails/6-191014084317-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/4AKdVSce1oJ1Lq
181907683,Contoh Proposal Bantuan Mebeler Sekolah,"PT. Pilar Mas Jaya mengajukan proposal kepada Dinas Pendidikan untuk bantuan pengadaan mebeler sekolah guna meningkatkan mutu pendidikan dan proses pembelajaran. Proposal ini mencantumkan tujuan untuk menyediakan sarana belajar yang memadai, menciptakan suasana belajar yang nyaman, serta memenuhi standar pendidikan nasional. Diharapkan bantuan ini dapat membantu mewujudkan lulusan yang berkualitas dan siap untuk menghadapi tuntutan dunia kerja.",948,0,AmandaYella,10,14-Oct-19,https://cdn.slidesharecdn.com/ss_thumbnails/3-191014084108-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/j9aRC16VFUyTSR
86123473,Contoh Proposal Koperasi Abadi Jaya,"Proposal Koperasi Abadi Jaya Universitas Gunadarma disusun oleh mahasiswa kelas 2EB15 dengan tujuan untuk meningkatkan kesejahteraan anggota melalui koperasi simpan pinjam. Koperasi ini berlandaskan asas kekeluargaan dan bertujuan mencegah anggota terjebak dalam pinjaman dengan bunga tinggi, serta melatih anggota dalam pengelolaan keuangan. Diharapkan koperasi ini dapat berkontribusi pada pertumbuhan ekonomi masyarakat dan menjadi sumber daya ekonomi yang mandiri.",201,,adindala12,11,14-Jan-18,https://cdn.slidesharecdn.com/ss_thumbnails/proposalkoperasi2eb151-180114051252-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/xUQyMFWdIzf4EE
181908148,Contoh Proposal Pengadaan Meubeler Sekolah,"PT. Pilar Mas Jaya mengajukan proposal pengadaan meubeler sekolah untuk meningkatkan mutu pendidikan dan proses pembelajaran di Sidoarjo. Proposal ini bertujuan untuk memastikan ketersediaan fasilitas belajar yang memadai bagi siswa dan guru, guna mendukung pencapaian standar pendidikan yang ditetapkan. Diharapkan, dengan dukungan dari semua pihak, proses pembelajaran dapat berjalan efektif dan efisien.",3539,,AmandaYella,10,14-Oct-19,https://cdn.slidesharecdn.com/ss_thumbnails/5-191014084230-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/pctmAU7X7H0EtS
34112187,Contoh Proposal Usaha atau Rencana Bisnis,"Dokumen ini adalah rencana bisnis yang mencakup berbagai aspek penting seperti profil perusahaan, analisis pasar, rencana produksi, sumber daya manusia, serta analisis keuangan. Semua elemen ini disusun untuk memberikan gambaran mengenai prospek pengembangan perusahaan dan kebutuhan investasi. Rencana ini juga mencakup strategi pemasaran dan manajemen risiko yang relevan untuk mencapai tujuan bisnis.",518608,241,Samuel Henry,34,30-Apr-14,https://cdn.slidesharecdn.com/ss_thumbnails/contoh-proposal-business-plan-140430003624-phpapp01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/HLx6upiL7RcOKq
35079243,contoh proposal,"Acara musik bertajuk ""The Soul of Purification"" akan diselenggarakan pada 10 Mei 2011 di Jogja National Museum. Acara ini akan menampilkan band lokal dan band dari Australia, dengan harapan dapat mempromosikan budaya musik dan pertukaran budaya antarnegara. Acara ini diselenggarakan oleh Voltus Production dan mencari sponsor untuk mendanai acara seharga Rp9,7 juta.",4098,,infoobatpelangsing.com,11,24-May-14,https://cdn.slidesharecdn.com/ss_thumbnails/tsop-proposal-140524115102-phpapp02-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/1o0qmDPgjk6pu2
252013112,contoh proposal penambahan kelas baru1.pdf,"PKBM Wahana Lestari mengajukan proposal bantuan pembangunan ruang kelas baru kepada Gubernur Banten untuk meningkatkan akses pendidikan non-formal. Proposal ini menjelaskan latar belakang, tujuan, rencana penggunaan dana, dan detail biaya pembangunan gedung yang dibutuhkan untuk mendukung program pendidikan di masyarakat. Dengan adanya fasilitas ini, diharapkan dapat lebih memperkuat kualitas sumber daya manusia di Kecamatan Mancak.",223,0,GriyaSyifaHolistik,38,18-Jun-22,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalpenambahankelasbaru1-220618160718-6448090c-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/cgBDqzVvBfFL4Y
153578927,2019 contoh proposal usaha untuk pinjaman modal,"Dokumen ini adalah rencana bisnis untuk North Fashion & Design yang didirikan oleh Basyar Al Addar, mencakup analisis pasar, strategi pemasaran, dan proyeksi keuangan. Target penjualan tahunan sebesar 10 juta dengan kebutuhan dana 5 juta untuk ekspansi usaha. Perusahaan berencana mengembangkan cabang di luar negeri dan meningkatkan kapasitas produksi serta sumber daya manusia.",1971,6,BasyarAlAddar1,36,04-Jul-19,https://cdn.slidesharecdn.com/ss_thumbnails/2019contohproposalusaha-190704162823-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/2wOa8VAdMuQxEv
27088904,Contoh Power Point Membuat Proposal,"Proposal ini mengusulkan pendidikan dan pelatihan ekstrakurikuler untuk remaja masjid di SMA Negeri 3 Jombang guna meningkatkan iman dan kemampuan siswa dalam bidang agama Islam. Kegiatan akan diadakan pada tanggal 22-23 September 2012 dengan berbagai materi dan pembicara, melibatkan siswa dan alumni. Anggaran dana total sebesar Rp 945.500 akan digunakan untuk biaya konsumsi dan insentif pemateri.",106981,17,Neli Narulita,10,11-Oct-13,https://cdn.slidesharecdn.com/ss_thumbnails/proposalppt-131011022227-phpapp01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/A3BOvMrYuoGZzl
150527673,Contoh proposal,Panitia mempersiapkan acara peringatan HUT ke-73 Republik Indonesia pada 28 Agustus 2018 di Desa Kebonagung. Acara terdiri dari jalan santai pagi dan pentas seni malam. Panitia meminta bantuan dana untuk menunjang kegiatan.,406,0,kikianggapuspita,7,19-Jun-19,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposal-190619042543-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/mNtfdPa5G40M3o
28560034,Contoh Proposal Seminar 'Bedah Animasi',"1. Dosen STISI TELKOM meminta bantuan keuangan untuk menyelenggarakan acara Bedah Animasi sebagai Ujian Akhir Semester mata kuliah Animasi dan Multimedia.
2. Acara akan berisi presentasi, demo animasi, talkshow dengan narasumber industri, dan pameran. Bertujuan memotivasi mahasiswa, menjalin hubungan dengan industri, mempromosikan kampus.
3. Kebutuhan anggaran Rp1 juta untuk honor pembicara, transport, s",4155,3,Hendi Hendratman,3,23-Nov-13,https://cdn.slidesharecdn.com/ss_thumbnails/proposalbedahanimasi-131123153909-phpapp01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/5UoiiXXoEMGbf5
73567398,Contoh Tanda terima proposal,"Dokumen ini merupakan tanda terima penerimaan proposal dari panitia pelaksana acara 'seminar remaja kalteng 2017' yang ditandatangani oleh pihak penerima. Tanda terima mencakup informasi tentang nama, nama perusahaan/instansi, jabatan, dan tanggal penerimaan proposal. Dokumen ini diulang beberapa kali dengan format yang sama.",4601,2,Fazri Dejavu,2,24-Mar-17,https://cdn.slidesharecdn.com/ss_thumbnails/tandaterimaproposal-170324012025-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/vKTNfy1I2tP1LZ
42376918,Contoh proposal skripsi,"Dokumen ini mengkaji pengaruh pengawasan terhadap kinerja pegawai di bank syariah, khususnya di Bank Syariah Mandiri cabang Bogor. Penelitian ini mengidentifikasi pentingnya pengawasan internal dan dewan pengawas syariah dalam memastikan kepatuhan terhadap prinsip syariah untuk mencegah risiko reputasi dan menjaga integritas bank. Dengan adanya kasus penyimpangan yang terjadi, penelitian ini bertujuan untuk memahami seberapa besar pengaruh pengawasan terhadap kinerja pegawai di perbankan syariah.",42167,29,Yusuf Darismah,23,05-Dec-14,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalskripsi-141204210839-conversion-gate02-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/NIqqk7jN49AOIP
271402347,contoh-proposal-sponsorship-event-konser-musik.docx,"Dokumen ini adalah proposal acara 'Djarum Black on Stage' yang bertujuan untuk meningkatkan kesadaran masyarakat terhadap produk Djarum Black sambil memberikan hiburan menarik. Acara ini akan menampilkan penampilan lokal, permainan, dan booth penjualan di beberapa lokasi di daerah Yogyakarta. Jadwal acara dan rincian teknis terkait sound system serta fasilitas yang disediakan juga disertakan.",56,0,FerdiHartoko1,12,29-Aug-24,https://cdn.slidesharecdn.com/ss_thumbnails/contoh-proposal-sponsorship-event-konser-musik-240829040046-44f05e7b-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/1EAcSps69bJyV7
250996704,Contoh format proposal pendirian sekolah inklusi,"Dokumen ini adalah proposal pendirian sekolah inklusi yang mencakup latar belakang, tujuan, dan manfaat pendirian sekolah. Juga dijelaskan profil sekolah, identitas, sumber daya, sarana dan prasarana, serta kebutuhan dana. Proposal ini disusun untuk memenuhi tugas akhir dalam mata kuliah pendidikan inklusi.",344,0,Alorka 114114,2,14-Jan-22,https://cdn.slidesharecdn.com/ss_thumbnails/contohformatproposalpendiriansekolahinklusi-220114154144-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/7wCCnNsAsHDVZC
250607870,Contoh proposal sponsorship,"1. Dokumen tersebut merupakan proposal untuk menyelenggarakan kegiatan Pena Pemuda Indonesia ke-8 yang berupa lomba karya tulis ilmiah dan seminar nasional dengan tujuan untuk mengoptimalisasi peran generasi muda dalam menghadapi tantangan bangsa di era new normal.
2. Proposal ini mencakup latar belakang, tujuan, bentuk kegiatan, jadwal, anggaran, dan penawaran sponsorship untuk mendapatkan dukungan dana penyelenggaraan kegiatan",193,0,ssuserb8b380,10,08-Nov-21,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalsponsorship-211108073040-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/MYmV49pmhZu9gd
46758162,Contoh Proposal Skripsii,"Proposal skripsi ini membahas kreativitas guru pendidikan agama Islam dalam meningkatkan kualitas pembelajaran siswa kelas VII di SMP Al Hikmah Kawunganten. Penelitian ini bertujuan untuk memahami kreativitas guru, kualitas pembelajaran agama Islam, dan upaya meningkatkan kualitas pembelajaran. Penelitian kualitatif ini diharapkan bermanfaat untuk meningkatkan pembelajaran agama Islam.",14090,8,Maz Aziezt,64,08-Apr-15,https://cdn.slidesharecdn.com/ss_thumbnails/proposalpdf-150408024110-conversion-gate01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/F5JPETHyiYD2zX
15439240,Contoh Proposal Seminar Open Source,"Proposal kegiatan seminar nasional tentang teknologi open source yang bertujuan meningkatkan pengetahuan tentang open source, mengajak penggunaan perangkat lunak legal dan gratis, serta memperkenalkan sistem operasi Linux ke masyarakat. Kegiatan ini akan diselenggarakan pada 12 Januari 2013 di Universitas Mercu Buana Yogyakarta dengan materi pengenalan sistem operasi, manfaat, dan aplikasi open source.",31805,4,Aditya NewbieCoder,8,01-Dec-12,https://cdn.slidesharecdn.com/ss_thumbnails/edsfsdfsdf-121201041053-phpapp01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/v1uL3xECTb97az
58684624,Contoh proposal-bantuan-pendidikan,"Proposal ini meminta dana bantuan untuk penyelenggaraan program pendidikan anak usia dini di SPS Al-Kautsar. SPS ini membutuhkan dana untuk pengadaan sarana prasarana pendidikan, peningkatan mutu pendidik melalui pelatihan, dan insentif tenaga pengajar. Kegiatan ini bertujuan membantu perkembangan anak di kampung Selakopi.",3966,3,Ahmad Bakri,8,25-Feb-16,https://cdn.slidesharecdn.com/ss_thumbnails/contoh-proposal-bantuan-pendidikan-160224230435-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/gK9216S4v6ODjr
31601090,Contoh proposal pkm yang didanai dikti,"Program kreativitas mahasiswa ini bertujuan mengembangkan kampung susu di desa Cikahuripan melalui pengolahan susu sapi sebagai usaha mandiri oleh karang taruna. Dengan memberikan pelatihan kepada pemuda dan memahami potensi pengolahan susu, program ini diharapkan dapat meningkatkan ekonomi masyarakat dan mengurangi pengangguran. Anggaran yang diusulkan untuk program ini mencapai Rp 9.500.000 dan dilaksanakan dalam waktu empat bulan.",61440,25,PT. Likers Fice.com,60,25-Feb-14,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalpkmyangdidanaidikti-140224212342-phpapp02-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/xcRpnyjLt2cYHJ
49367598,Contoh proposal kkn,"Proposal KKN alternatif ini bertujuan untuk memberdayakan masyarakat di Kelurahan Sukorejo, Kecamatan Gunungpati, melalui berbagai program seperti Griya Cekatan yang mencakup aspek pendidikan, ekonomi, dan kesehatan. Kegiatan yang diusulkan termasuk pelatihan untuk meningkatkan keterampilan masyarakat dalam berbagai bidang serta upaya untuk meningkatkan kesadaran hidup sehat dan pengelolaan sampah. Melalui program ini, diharapkan dapat meningkatkan kualitas sumber daya manusia dan kemandirian ekonomi masyarakat setempat.",8971,3,Zaenal Abidin,39,14-Jun-15,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalkkn-150614110116-lva1-app6891-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/lYof3Aj3b0Qu6c
47850301,Contoh proposal pertandingan porgur,"Dokumen ini berisi proposal untuk mengikuti Pekan Olahraga Guru Kecamatan Majalaya 2014 yang akan diselenggarakan pada 10-23 November 2014. Proposal ini mencakup latar belakang, tujuan, jadwal, sarana yang dibutuhkan, struktur organisasi, daftar pemain untuk berbagai cabang olahraga, dan anggaran kebutuhan. Cabang olahraga yang diikuti antara lain bola voli, futsal, bulutangkis, tenis meja,",2926,3,Abest Botax,6,07-May-15,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalpertandinganporgur-150507063318-lva1-app6892-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/sOtHjnDGoZGn6g
259587796,contoh ppt seminar proposal 3.pptx,Dokumen ini membahas tantangan siswa dalam menguasai pemahaman membaca terkait dengan gaya belajar siswa dan pentingnya membina hubungan persahabatan di kalangan remaja. Ditekankan penggunaan metode experiential learning untuk meningkatkan keterampilan sosial siswa melalui model pembelajaran 'moment class'. Penelitian dan pengembangan akan menghasilkan panduan yang tervalidasi untuk mendukung siswa dalam membangun hubungan yang sehat dan bermanfaat.,60,0,SDN006SorekDua,17,03-Aug-23,https://cdn.slidesharecdn.com/ss_thumbnails/contohpptseminarproposal3-230803050154-cc27c855-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/fDdMrswBnxDLxH
97314325,contoh proposal skripsi,"Proposal penelitian ini membandingkan pengukuran debit air menggunakan current meter dan prototype flowmeter digital, dengan tujuan untuk membantu perancangan bangunan pengendalian banjir berdasarkan data debit puncak dan minimum. Penelitian ini diharapkan memberikan informasi akurat tentang debit air yang penting untuk pengelolaan sumber daya air. Metode yang digunakan mencakup area-velocity method dan berbagai teknik pengukuran lainnya.",1610,2,Rizky Junanda,16,17-May-18,https://cdn.slidesharecdn.com/ss_thumbnails/tugasmetilrizkyjunanda-180516173802-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/CnKzlOkoKzO1Wd
17051250,Contoh proposal penelitian hub,"Dokumen ini membahas hubungan antara dukungan psikologis dan sosial suami terhadap kunjungan antenatal care di Kendari, Sulawesi Tenggara, yang bertujuan untuk menurunkan angka kematian ibu yang masih tinggi. Meskipun telah dilakukan berbagai upaya untuk meningkatkan kesehatan ibu, angka kematian ibu di Indonesia tetap lebih tinggi dibandingkan negara-negara Asia Tenggara lainnya. Penelitian ini diharapkan dapat memberikan masukan bagi peningkatan pelayanan antenatal care untuk menurunkan angka kematian ibu.",29609,6,barondna09,23,09-Mar-13,https://cdn.slidesharecdn.com/ss_thumbnails/contohproposalpenelitianhub-130308223028-phpapp01-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/Gkp3yqWB6ezHbO
258326105,Contoh Proposal Kegiatan CV Liong.pdf,"Dokumen tersebut merupakan proposal kegiatan teknis pertambangan CV Liong Cimangkok yang meliputi latar belakang, tujuan, landasan hukum, ruang lingkup, dan sistematika pembahasan rencana kegiatan pertambangan pasir dan batu di Kabupaten Sukabumi.""",780,0,DiahIr1,33,09-Jun-23,https://cdn.slidesharecdn.com/ss_thumbnails/proposalkegiatancvliong-230609074116-c7efd53f-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/5CsWvaMM1AoG2L
181909058,Contoh Proposal Bantuan Meubelair Sekolah,PT Pilar Mas Jaya mengajukan proposal bantuan meubelair sekolah untuk mendukung proses pembelajaran yang efektif. Proposal ini bertujuan untuk meningkatkan mutu pendidikan siswa dengan menyediakan sarana belajar yang memadai sesuai standar nasional pendidikan. Bantuan ini diharapkan dapat meningkatkan kualitas lulusan sekolah.,1677,0,AmandaYella,10,14-Oct-19,https://cdn.slidesharecdn.com/ss_thumbnails/91-191014084524-thumbnail.jpg?width=640&height=640&fit=bounds,https://www.slideshare.net/slideshow/embed_code/key/yuBVcrNPtVVkkT
